precision,recall,threshold
0.5,1.0,4.713736255666811e-06
0.5000833472245374,1.0,9.251521470936807e-06
0.5002501250625313,1.0,1.887506423369435e-05
0.5003335557038026,1.0,2.7873168117866615e-05
0.5005005005005005,1.0,2.839623926958198e-05
0.5008347245409015,1.0,3.836726598990179e-05
0.5009183503088996,1.0,3.850128688084268e-05
0.5011693952555963,1.0,4.2677639272724476e-05
0.5012531328320802,1.0,5.335282486487185e-05
0.5014206919605549,1.0,6.613116933379518e-05
0.5017561465127948,1.0,6.832418643274377e-05
0.5018400802944128,1.0,7.712316620021548e-05
0.5020080321285141,1.0,9.249919521653919e-05
0.502092050209205,1.0,9.570992547539202e-05
0.5022601707684581,1.0,0.00010072244062967984
0.5031024652020795,1.0,0.00010090814782096657
0.5031868500503187,1.0,0.00011116701617447149
0.5032712632108707,1.0,0.00014587662454982226
0.5033557046979866,1.0,0.00014759422348292284
0.5036091992613732,1.0,0.0001581811056330311
0.503693754197448,1.0,0.0001674507269727627
0.5037783375314862,1.0,0.00016996963776453
0.5038629492777964,1.0,0.00017252212154773042
0.5039475894506972,1.0,0.0001757496843029893
0.504116955133591,1.0,0.00018260917630065967
0.5042016806722689,1.0,0.00020822658158671777
0.5043712172158709,1.0,0.00022695296350635962
0.5044560282495376,1.0,0.00025870463391515925
0.5047955577990914,1.0,0.0002737528455890366
0.5048805116122518,1.0,0.00028352073859208246
0.504965494024575,1.0,0.00036534978237253996
0.5050505050505051,1.0,0.0004069816788204289
0.5052206130010104,1.0,0.0004236761752244297
0.505137274717871,0.9996666666666667,0.0004622230721638986
0.50530749789385,0.9996666666666667,0.0005105374113156583
0.5056482886528411,0.9996666666666667,0.0005130316301597981
0.5058188564682071,0.9996666666666667,0.0005502998218713596
0.5060749240634492,0.9996666666666667,0.000558919604403819
0.5062457798784605,0.9996666666666667,0.0006493929118938869
0.5064167510976022,0.9996666666666667,0.0006747134371164975
0.5065022800202669,0.9996666666666667,0.0007000736681976534
0.5064189189189189,0.9993333333333333,0.0007289215458444608
0.506590064210882,0.9993333333333333,0.0007838171623212071
0.5066756802433666,0.9993333333333333,0.0008045042268128132
0.506761325219743,0.9993333333333333,0.0008148885971963833
0.5069327020629016,0.9993333333333333,0.00081553414346757
0.5070184339590732,0.9993333333333333,0.0008262231745697793
0.5071041948579161,0.9993333333333333,0.0008810286815738077
0.5072758037225042,0.9993333333333333,0.0008811211013269204
0.5071924183448976,0.999,0.0009106415745448183
0.5074500507958009,0.999,0.0010116157672543711
0.5075359864521591,0.999,0.0010735190271940573
0.5077079451126546,0.999,0.0011501835227296815
0.5080522122393626,0.999,0.0011643593566737463
0.5082245209428523,0.999,0.0013192007539032608
0.5083107191316146,0.999,0.0013897632938480223
0.5083969465648855,0.999,0.0014915338568952203
0.50848320325755,0.999,0.0015174312126517426
0.5086558044806517,0.999,0.0017128523353100637
0.5085723985740961,0.9986666666666667,0.0017649084629000444
0.5086587436332768,0.9986666666666667,0.0018273618369923882
0.5087451180166412,0.9986666666666667,0.0020644212666208568
0.509004417261298,0.9986666666666667,0.0024000829154397184
0.509090909090909,0.9986666666666667,0.0025660649841375833
0.5092639809620941,0.9986666666666667,0.0026492366973260126
0.5094371705492263,0.9986666666666667,0.0029960201581451344
0.5095238095238095,0.9986666666666667,0.0035513449657054415
0.5096104779724443,0.9986666666666667,0.0038486324371277457
0.5096971759101735,0.9986666666666667,0.003919256028356549
0.5097839033520504,0.9986666666666667,0.004196961676323721
0.5098706603131382,0.9986666666666667,0.004257154404347701
0.5099574468085106,0.9986666666666667,0.004474880275204278
0.5100442628532517,0.9986666666666667,0.004518142835385873
0.5102179836512262,0.9986666666666667,0.00501240645472054
0.5103048884346789,0.9986666666666667,0.005318571794876064
0.5103918228279387,0.9986666666666667,0.005391403900373763
0.5103084000681547,0.9983333333333333,0.005708280107197029
0.5110049479610987,0.9983333333333333,0.005805735573466982
0.5111793821471241,0.9983333333333333,0.005805751767402628
0.5112666439057699,0.9983333333333333,0.006743062433488852
0.5128424657534246,0.9983333333333333,0.00695079625003693
0.5127590340811783,0.998,0.007794316567969322
0.512846865364851,0.998,0.007824544856141907
0.5130226182316655,0.998,0.008709241105400289
0.5131984916009599,0.998,0.008761702692636205
0.5130315500685871,0.9973333333333333,0.009778092747724246
0.5129480363574,0.997,0.009778955450614133
0.5130360205831904,0.997,0.009950565452914454
0.5131240349974266,0.997,0.012343136920779712
0.5133001544534066,0.997,0.013082650390496843
0.5133882595262615,0.997,0.014164990842018272
0.5134763948497854,0.997,0.014372965849890694
0.5135645604395604,0.997,0.014653673494806877
0.5136527563111798,0.997,0.015549240125762375
0.5135692201992442,0.9966666666666667,0.01605534991086553
0.5136574471740251,0.9966666666666667,0.01667724963708371
0.5137457044673539,0.9966666666666667,0.016754095891881714
0.5136621412613851,0.9963333333333333,0.016905775591074104
0.5135785493296665,0.996,0.017542611288467184
0.5136668385765859,0.996,0.01820150766766858
0.5138435081685296,0.996,0.019053692457075132
0.51402029932909,0.996,0.01909607020014612
0.5141087405368203,0.996,0.019588336407038408
0.5141972121837893,0.996,0.019665681411558077
0.5142857142857142,0.996,0.020105542878471105
0.5153501207312866,0.996,0.020126634644400024
0.5154390201828531,0.996,0.020291196205931988
0.515527950310559,0.996,0.021012324805967455
0.5154443485763589,0.9956666666666667,0.02118168452739485
0.5157113259668509,0.9956666666666667,0.0213487738914832
0.5158894645941278,0.9956666666666667,0.022326528156857657
0.5159785800656418,0.9956666666666667,0.022424578094256343
0.5160677263303386,0.9956666666666667,0.022595959492344844
0.5159841022982548,0.9953333333333333,0.022815160711019543
0.5159004493605254,0.995,0.02332633405031143
0.5162573503977862,0.995,0.02442457058277849
0.5164359861591695,0.995,0.025319958289702207
0.5165253504066447,0.995,0.025555356228584226
0.51644167532018,0.9946666666666667,0.026541568199463444
0.5163579712653626,0.9943333333333333,0.026915893447361002
0.5165367965367965,0.9943333333333333,0.027799338107452946
0.5166262556286803,0.9943333333333333,0.02816158926878928
0.516715745712801,0.9943333333333333,0.028848202894847137
0.5168052668052668,0.9943333333333333,0.029142919502355674
0.5168948189221972,0.9943333333333333,0.02928700334997732
0.5168110918544194,0.994,0.0299253678594512
0.5171696149843913,0.994,0.030483034145775943
0.5170858629661752,0.9936666666666667,0.032618796117499675
0.517175572519084,0.9936666666666667,0.03279559576856438
0.5173550850399167,0.9936666666666667,0.03320790784178336
0.5174448880402708,0.9936666666666667,0.03364027758829265
0.5175347222222222,0.9936666666666667,0.03421665766058947
0.5176245876020142,0.9936666666666667,0.0349416532456082
0.5177144841959014,0.9936666666666667,0.03518134944949438
0.517630710439465,0.9933333333333333,0.03561712710706884
0.51772063933287,0.9933333333333333,0.03584049338597522
0.5179005908932917,0.9933333333333333,0.035868155527640944
0.5179906135929081,0.9933333333333333,0.036055250122472925
0.5179068150208623,0.993,0.0368959354802599
0.5179968701095462,0.993,0.03742587632554575
0.5180869565217391,0.993,0.037722176882967924
0.5184476157326836,0.993,0.037940076968641274
0.5188991464901586,0.993,0.03794251757431637
0.518815331010453,0.9926666666666667,0.03802952687400799
0.5189057327060463,0.9926666666666667,0.03876072886319756
0.5189961659114674,0.9926666666666667,0.038941091525810045
