precision,recall,threshold
0.5,1.0,-0.753595
0.4999166527754626,0.9996666666666667,-0.69764316
0.49983327775925307,0.9993333333333333,-0.68512106
0.49974987493746875,0.999,-0.68260086
0.49966644429619744,0.9986666666666667,-0.6753999
0.49958298582151794,0.9983333333333333,-0.6664374
0.4994994994994995,0.998,-0.6609293
0.49941598531620224,0.9976666666666667,-0.6522305
0.4993324432576769,0.9973333333333333,-0.6378218
0.4992488733099649,0.997,-0.6337124
0.4991652754590985,0.9966666666666667,-0.6326153
0.49908164969110036,0.9963333333333333,-0.6320317
0.49899799599198397,0.996,-0.6082076
0.49891431434775346,0.9956666666666667,-0.5996764
0.4988306047444036,0.9953333333333333,-0.5976814
0.49874686716791977,0.995,-0.5937122
0.49866310160427807,0.9946666666666667,-0.59066916
0.4985793080394451,0.9943333333333333,-0.5900612
0.49849548645937813,0.994,-0.5899613
0.4984116368500251,0.9936666666666667,-0.5866709
0.4983277591973244,0.9933333333333333,-0.5853087
0.49824385348720523,0.993,-0.57876694
0.49815991970558715,0.9926666666666667,-0.53766465
0.49824326585243434,0.9926666666666667,-0.536093
0.49832663989290493,0.9926666666666667,-0.53163695
0.4982426778242678,0.9923333333333333,-0.52913237
0.49840950945923324,0.9923333333333333,-0.5281198
0.4983255190890824,0.992,-0.5260693
0.49824150058616645,0.9916666666666667,-0.50311923
0.4981574539363484,0.9913333333333333,-0.50143147
0.49807337912548166,0.991,-0.5004697
0.498156836461126,0.991,-0.5002761
0.49824032176973354,0.991,-0.4994334
0.4983238350653704,0.991,-0.49824238
0.49823973176865044,0.9906666666666667,-0.49700785
0.4981556002682763,0.9903333333333333,-0.4856615
0.4982391413717927,0.9903333333333333,-0.48460245
0.4981549815498155,0.99,-0.47965825
0.4984057727806679,0.99,-0.47946835
0.4984894259818731,0.99,-0.47840643
0.4985731072687594,0.99,-0.47736394
0.49865681665547346,0.99,-0.47731757
0.4987405541561713,0.99,-0.4760536
0.49865636546859254,0.9896666666666667,-0.47285008
0.49857214849655634,0.9893333333333333,-0.47238135
0.4986559139784946,0.9893333333333333,-0.46944034
0.4985716686271215,0.989,-0.4679556
0.4984873949579832,0.9886666666666667,-0.46725714
0.49840309295679946,0.9883333333333333,-0.46687043
0.49831876260928043,0.988,-0.46187162
0.4982344039011266,0.9876666666666667,-0.45694292
0.49815001681802895,0.9873333333333333,-0.4555912
0.49806560134566863,0.987,-0.45491338
0.4979811574697174,0.9866666666666667,-0.45440745
0.49789668517583713,0.9863333333333333,-0.45257962
0.49781218444968023,0.986,-0.44975352
0.4977276552768894,0.9856666666666667,-0.44790447
0.49764309764309766,0.9853333333333333,-0.44582212
0.49755851153392827,0.985,-0.4451313
0.4976423038059953,0.985,-0.44451392
0.49772612430520463,0.985,-0.44406235
0.49764150943396224,0.9846666666666667,-0.44291914
0.4975568660488627,0.9843333333333333,-0.44286215
0.4974721941354904,0.984,-0.44253135
0.4973874936794202,0.9836666666666667,-0.44182765
0.49730276466621715,0.9833333333333333,-0.43851805
0.4973866127128646,0.9833333333333333,-0.4370098
0.4973018549747049,0.983,-0.43611956
0.49763752953088086,0.983,-0.43353164
0.4977215189873418,0.983,-0.43326235
0.49763673193787983,0.9826666666666667,-0.4324584
0.4975519162586527,0.9823333333333333,-0.42957795
0.49763593380614657,0.9823333333333333,-0.42808914
0.4975510893430164,0.982,-0.4268229
0.49763513513513513,0.982,-0.42522407
0.49771920932589964,0.982,-0.42357838
0.49763433592429873,0.9816666666666667,-0.42345452
0.49754943383471356,0.9813333333333333,-0.4233979
0.4976335361730899,0.9813333333333333,-0.4224856
0.49771766694843617,0.9813333333333333,-0.4222976
0.49780182617517754,0.9813333333333333,-0.4220649
0.4977168949771689,0.981,-0.42175984
0.4976319350473613,0.9806666666666667,-0.42145967
0.4975469463711724,0.9803333333333333,-0.4212736
0.49746192893401014,0.98,-0.4210559
0.4973768827212726,0.9796666666666667,-0.42083716
0.4974610697359513,0.9796666666666667,-0.41842818
0.4975452852547825,0.9796666666666667,-0.41839325
0.49746020995597695,0.9793333333333333,-0.41699874
0.497289972899729,0.9786666666666667,-0.415349
0.4973742165000847,0.9786666666666667,-0.41382408
0.497458488647916,0.9786666666666667,-0.41328335
0.4973733265548212,0.9783333333333334,-0.41222322
0.49745762711864405,0.9783333333333334,-0.41179752
0.4973724360061027,0.978,-0.41039944
0.4972872160054256,0.9776666666666667,-0.4094441
0.4972019671019162,0.9773333333333334,-0.40917277
0.4971166892808684,0.977,-0.40861893
0.49703138252756573,0.9766666666666667,-0.40591645
0.496946046827282,0.9763333333333334,-0.40584528
0.4970303750212116,0.9763333333333334,-0.40518975
0.4971147318397828,0.9763333333333334,-0.40031934
0.49702936683075877,0.976,-0.40015244
0.49711375212224107,0.976,-0.39726377
0.49702835795551026,0.9756666666666667,-0.39695358
0.49711277173913043,0.9756666666666667,-0.39643538
0.4971972142007814,0.9756666666666667,-0.39620018
0.49711179068977235,0.9753333333333334,-0.3956673
0.4970263381478335,0.975,-0.3915645
0.4969408565601632,0.9746666666666667,-0.39035988
0.49702532721400644,0.9746666666666667,-0.38747394
0.4969398163889833,0.9743333333333334,-0.38696766
0.4968542764835912,0.974,-0.3866614
0.4969387755102041,0.974,-0.38603997
0.49702330328287125,0.974,-0.3819419
0.4969377339231031,0.9736666666666667,-0.38115668
0.49685213544325335,0.9733333333333334,-0.38049984
0.4967665078284547,0.973,-0.38008976
0.4968510638297872,0.973,-0.37988794
0.49676540687776644,0.9726666666666667,-0.37937522
0.49667972075600203,0.9723333333333334,-0.37509477
0.49659400544959126,0.972,-0.3742118
0.4965082609436212,0.9716666666666667,-0.3730334
0.4964224872231687,0.9713333333333334,-0.37298048
0.4963366842733004,0.971,-0.37288105
0.49625085207907293,0.9706666666666667,-0.3726318
0.49616499062553265,0.9703333333333334,-0.37032223
0.4962495738152063,0.9703333333333334,-0.3687216
0.49633418584825234,0.9703333333333334,-0.3653885
0.49624829467939974,0.97,-0.36448193
0.4963329353573256,0.97,-0.36442542
0.49641760491299897,0.97,-0.36378646
0.49633168401296707,0.9696666666666667,-0.36282563
0.49641638225255974,0.9696666666666667,-0.36140418
0.49650110940433523,0.9696666666666667,-0.36120224
0.4965858654831,0.9696666666666667,-0.3606007
0.4964999146320642,0.9693333333333334,-0.36035705
0.49658469945355194,0.9693333333333334,-0.35978556
0.49666951323654995,0.9693333333333334,-0.35974872
0.4965835326272634,0.969,-0.35806727
0.49666837519220913,0.969,-0.357661
0.4969230769230769,0.969,-0.35743952
0.4970080355616345,0.969,-0.35740542
0.49709302325581395,0.969,-0.356452
0.4970070121429793,0.9686666666666667,-0.35503685
0.4969209716045159,0.9683333333333334,-0.35489345
0.4968349016253208,0.968,-0.35466886
0.4967488021902806,0.9676666666666667,-0.3543973
0.49666267328427177,0.9673333333333334,-0.35427427
0.4965765148921602,0.967,-0.35374248
0.4964903269988016,0.9666666666666667,-0.35230756
0.4965753424657534,0.9666666666666667,-0.35221624
0.49674546077423776,0.9666666666666667,-0.35199785
0.49665924276169265,0.9663333333333334,-0.35124707
0.49691463832704835,0.9663333333333334,-0.34928727
0.4969998285616321,0.9663333333333334,-0.34913123
0.4970850480109739,0.9663333333333334,-0.34835494
0.4971702966901046,0.9663333333333334,-0.3470279
0.49725557461406517,0.9663333333333334,-0.34649134
0.4971693257848688,0.966,-0.34624338
0.4970830473575841,0.9656666666666667,-0.34618592
0.4971683542131457,0.9656666666666667,-0.34561086
0.49708204600068656,0.9653333333333334,-0.34552073
0.49699570815450644,0.965,-0.34544587
0.49690934065934067,0.9646666666666667,-0.34469998
0.4968229434999141,0.9643333333333334,-0.34385514
0.49673651666094126,0.964,-0.3422885
0.49682185191547845,0.964,-0.33976674
0.49673539518900345,0.9636666666666667,-0.33813608
0.4966489087472074,0.9633333333333334,-0.3328508
0.49673427294602956,0.9633333333333334,-0.33268416
0.49681966649475673,0.9633333333333334,-0.331954
0.4967331499312242,0.963,-0.33126652
0.49681857265692175,0.963,-0.3310094
0.4969040247678019,0.963,-0.33094907
0.4968174780664029,0.9626666666666667,-0.3305844
0.49673090158293187,0.9623333333333334,-0.32947075
0.496816382722423,0.9623333333333334,-0.32794106
0.49672977624784853,0.962,-0.32789385
0.496900826446281,0.962,-0.32708323
0.4968141897709661,0.9616666666666667,-0.32708216
0.49672752325180847,0.9613333333333334,-0.3269949
