fpr,tpr,threshold
0.0,0.0,inf
0.0016666666666666668,0.0,0.9999999999999699
0.0023333333333333335,0.0,0.9999999999998931
0.005,0.0,0.9999999999996205
0.005,0.0003333333333333333,0.9999999999838255
0.005666666666666667,0.0003333333333333333,0.999999999932264
0.005666666666666667,0.0006666666666666666,0.9999999998389809
0.006666666666666667,0.0006666666666666666,0.9999999985292468
0.006666666666666667,0.0013333333333333333,0.9999999983428433
0.006666666666666667,0.0016666666666666668,0.999999997345502
0.007666666666666666,0.0016666666666666668,0.9999999928739691
0.007666666666666666,0.0023333333333333335,0.9999999903898855
0.008,0.0023333333333333335,0.9999999873162732
0.008666666666666666,0.0023333333333333335,0.9999999847889269
0.009,0.0023333333333333335,0.9999999841267266
0.009,0.0033333333333333335,0.9999999380788371
0.009666666666666667,0.0033333333333333335,0.9999999190427639
0.01,0.0033333333333333335,0.9999999069734439
0.010666666666666666,0.0033333333333333335,0.9999999011417763
0.010666666666666666,0.0036666666666666666,0.9999999001197094
0.012,0.0036666666666666666,0.9999998136718286
0.012,0.004333333333333333,0.9999997842449249
0.013666666666666667,0.004333333333333333,0.9999994958656604
0.014333333333333333,0.004333333333333333,0.9999994752048362
0.014333333333333333,0.004666666666666667,0.9999994294636936
0.014666666666666666,0.004666666666666667,0.9999994238703713
0.014666666666666666,0.005333333333333333,0.9999993177593781
0.015,0.005333333333333333,0.9999991723134588
0.017,0.005333333333333333,0.9999991443509065
0.017,0.006,0.9999982390037713
0.017666666666666667,0.006,0.9999976482166993
0.017666666666666667,0.006333333333333333,0.9999971754399073
0.017666666666666667,0.007,0.9999969707587957
0.018,0.007,0.9999968634413953
0.018,0.007666666666666666,0.9999957652939445
0.018333333333333333,0.007666666666666666,0.99999567535206
0.019666666666666666,0.007666666666666666,0.9999952941543145
0.021333333333333333,0.007666666666666666,0.9999940820532202
0.021333333333333333,0.008,0.9999936972984497
0.021333333333333333,0.008666666666666666,0.9999933281291794
0.021666666666666667,0.008666666666666666,0.9999916534016412
0.025666666666666667,0.008666666666666666,0.9999910524246468
0.026333333333333334,0.008666666666666666,0.9999891875824463
0.02666666666666667,0.008666666666666666,0.9999879489262166
0.027333333333333334,0.008666666666666666,0.9999876553734552
0.027666666666666666,0.008666666666666666,0.9999864203430779
0.027666666666666666,0.009333333333333334,0.999985808000741
0.029,0.009333333333333334,0.999985048615014
0.029,0.009666666666666667,0.9999834990465899
0.029666666666666668,0.009666666666666667,0.9999834692780324
0.03,0.009666666666666667,0.9999829652311717
0.03,0.010333333333333333,0.9972628971106904
0.03133333333333333,0.010333333333333333,0.9971080641247249
0.032,0.010333333333333333,0.9970027922309918
0.032,0.010666666666666666,0.9969952968070306
0.03233333333333333,0.010666666666666666,0.9966763488526879
0.033,0.010666666666666666,0.9963698105981904
0.033666666666666664,0.010666666666666666,0.9957556301313095
0.033666666666666664,0.011333333333333334,0.9957015074986025
0.034666666666666665,0.011333333333333334,0.9956838183509332
0.034666666666666665,0.011666666666666667,0.9956569830172739
0.036333333333333336,0.011666666666666667,0.9951892157001472
0.036333333333333336,0.012666666666666666,0.9949715146074637
0.03766666666666667,0.012666666666666666,0.994934751313756
0.03766666666666667,0.013,0.9947447463297618
0.038,0.013,0.9945693467606436
0.03933333333333333,0.013,0.9944398915703562
0.04,0.013,0.9942308961929445
0.041,0.013,0.994194464378989
0.04133333333333333,0.013,0.9941372489564629
0.04133333333333333,0.013333333333333334,0.9939246741930194
0.041666666666666664,0.013333333333333334,0.9929659813821706
0.041666666666666664,0.014666666666666666,0.9927359968867046
0.041666666666666664,0.015666666666666666,0.9922104540596379
0.042333333333333334,0.015666666666666666,0.9918684110164752
0.042333333333333334,0.01633333333333333,0.9918081233567982
0.042666666666666665,0.01633333333333333,0.99163479324551
0.042666666666666665,0.017,0.9915609164792993
0.044,0.017,0.9910675541341323
0.045,0.017,0.9904561187823475
0.04533333333333334,0.017,0.9897496453486929
0.04533333333333334,0.019,0.9879816873785372
0.04566666666666667,0.019,0.9879648560889817
0.04633333333333333,0.019,0.9878847675402632
0.04666666666666667,0.019,0.9875641889092829
0.048666666666666664,0.019,0.9873096693332073
0.04933333333333333,0.019,0.9869481485549761
0.055,0.019,0.986942334117907
0.05533333333333333,0.019,0.9868057078602879
0.05533333333333333,0.019333333333333334,0.986611009118489
0.05566666666666667,0.019333333333333334,0.9862289010583136
0.057,0.019333333333333334,0.9861418525970159
0.057,0.02,0.9859124088676142
0.058333333333333334,0.02,0.9857646700862426
0.058333333333333334,0.021666666666666667,0.9850011970520696
0.059,0.021666666666666667,0.9845033164057574
0.059,0.022,0.9840186862949307
0.059,0.02266666666666667,0.983194204801513
0.059,0.023,0.9831391665598633
0.059333333333333335,0.023,0.9830393689229514
0.059333333333333335,0.024,0.9823430181959261
0.06,0.024,0.9820010178910513
0.06066666666666667,0.024,0.9817559463927154
0.06066666666666667,0.024666666666666667,0.9813975790729428
0.06066666666666667,0.025333333333333333,0.9813426646508803
0.06066666666666667,0.026,0.9808171066278841
0.061,0.026,0.980813966005475
0.061,0.026333333333333334,0.9807292618570745
0.063,0.026333333333333334,0.9797366113380477
0.063,0.02666666666666667,0.9794865376800582
0.06366666666666666,0.02666666666666667,0.9791242815710268
0.06366666666666666,0.027333333333333334,0.9782521871890703
0.065,0.027333333333333334,0.9772441159659966
0.065,0.028,0.9769270289168357
0.06666666666666667,0.028,0.976207219804159
0.06666666666666667,0.028666666666666667,0.9761601244059168
0.06666666666666667,0.029,0.9757592912178161
0.06666666666666667,0.029666666666666668,0.9757542122561917
0.06733333333333333,0.029666666666666668,0.9756329110419091
0.06733333333333333,0.030666666666666665,0.9754837515497579
0.068,0.030666666666666665,0.9749387560154298
0.068,0.031,0.9747288523233357
0.06833333333333333,0.031,0.9744256792510333
0.06833333333333333,0.03133333333333333,0.9743955262134268
0.06866666666666667,0.03133333333333333,0.9743275750616444
0.06866666666666667,0.03233333333333333,0.9740956735770233
0.06933333333333333,0.03233333333333333,0.9740634342481154
0.06933333333333333,0.033,0.9738406895827785
0.06933333333333333,0.034666666666666665,0.9737698885205004
0.06933333333333333,0.036,0.973449330533601
0.06966666666666667,0.036,0.9733868912656176
0.06966666666666667,0.036333333333333336,0.972829454005278
0.07,0.036333333333333336,0.972823487011807
0.07,0.03666666666666667,0.9728216208080979
0.07066666666666667,0.03666666666666667,0.9726011037692163
0.07066666666666667,0.037,0.9724573029568059
0.07066666666666667,0.03766666666666667,0.9723941966018916
0.07066666666666667,0.03833333333333333,0.9708530833278388
0.07066666666666667,0.04,0.9706300962895664
0.072,0.04,0.9705784038562333
0.072,0.04033333333333333,0.9703905818161829
0.07233333333333333,0.04033333333333333,0.9702046209572254
0.07233333333333333,0.041,0.9697222618260921
0.073,0.041,0.9695573873732245
0.074,0.041,0.9691816989370895
0.07466666666666667,0.041,0.9690507829332795
0.07466666666666667,0.043666666666666666,0.967879478777803
0.07533333333333334,0.043666666666666666,0.9678732350431243
0.07533333333333334,0.044,0.9678581898138456
0.07566666666666666,0.044,0.9675776547545943
0.07566666666666666,0.04533333333333334,0.966640275776023
0.07633333333333334,0.04533333333333334,0.9659042694109409
0.07633333333333334,0.046,0.9657864881230191
0.077,0.046,0.9654341868343682
0.077,0.047,0.9650477988099712
0.07766666666666666,0.047,0.9649910665100857
0.07766666666666666,0.04733333333333333,0.964929940241751
0.079,0.04733333333333333,0.9648397096797756
0.079,0.04766666666666667,0.9648040547512835
0.079,0.04833333333333333,0.9647484518214114
0.079,0.048666666666666664,0.9647071838169443
0.079,0.051666666666666666,0.964666206739602
0.07966666666666666,0.051666666666666666,0.9645859910056322
0.07966666666666666,0.052,0.9642760297192353
0.08033333333333334,0.052,0.9641040333645596
0.08033333333333334,0.05333333333333334,0.9634672570000078
0.08033333333333334,0.054,0.9633722412606245
0.08066666666666666,0.054,0.963064973700016
0.08066666666666666,0.05433333333333333,0.9630055728231494
0.081,0.05433333333333333,0.9628880975418607
0.081,0.055,0.9624459956111892
0.08266666666666667,0.05533333333333333,0.9621581349108499
0.08266666666666667,0.05566666666666667,0.962047087593055
0.083,0.05566666666666667,0.9617928837425688
0.083,0.057,0.9607878802831927
0.08333333333333333,0.057,0.960177481620419
0.08333333333333333,0.05733333333333333,0.9598715876798269
0.084,0.05733333333333333,0.9594555614466395
0.084,0.057666666666666665,0.9593924136500606
0.08433333333333333,0.057666666666666665,0.959279675878914
0.085,0.057666666666666665,0.9592669438286344
0.08533333333333333,0.057666666666666665,0.95924706889623
0.08533333333333333,0.058,0.9592361809892684
0.08566666666666667,0.058,0.9589733956413222
0.08566666666666667,0.058333333333333334,0.9588225386961146
0.08666666666666667,0.058333333333333334,0.9585491619798486
0.08733333333333333,0.058333333333333334,0.9582585316824421
0.08766666666666667,0.058333333333333334,0.958203319184567
0.08833333333333333,0.058333333333333334,0.9580727567443318
0.08866666666666667,0.058333333333333334,0.957862137788239
0.08866666666666667,0.058666666666666666,0.9575257772455712
0.089,0.058666666666666666,0.9569123466847151
0.089,0.059,0.956677032558079
0.08933333333333333,0.059,0.9562944397833936
0.08933333333333333,0.059333333333333335,0.9558686130808346
0.09,0.059333333333333335,0.9554053948762318
0.09,0.06,0.9547289778265716
0.091,0.06,0.953143958241673
0.091,0.060333333333333336,0.9529247790511985
0.09166666666666666,0.060333333333333336,0.9525330511276775
0.09166666666666666,0.06066666666666667,0.951819912983746
0.092,0.06066666666666667,0.9516327909515401
0.09266666666666666,0.06066666666666667,0.9514086752862847
0.09266666666666666,0.062,0.9507018343525335
0.09333333333333334,0.062,0.9503494696828264
0.09333333333333334,0.06233333333333333,0.9501853961663973
0.09433333333333334,0.06233333333333333,0.9500100300599209
