fpr,tpr,threshold
0.0,0.0,inf
0.0003333333333333333,0.0,0.9988386
0.0006666666666666666,0.0,0.9987667
0.0006666666666666666,0.0006666666666666666,0.9984918
0.001,0.0006666666666666666,0.99837035
0.001,0.001,0.9981533
0.002,0.001,0.9979105
0.002,0.0013333333333333333,0.99790734
0.0023333333333333335,0.0013333333333333333,0.99786067
0.0023333333333333335,0.002,0.99782
0.0026666666666666666,0.002,0.997725
0.0026666666666666666,0.0026666666666666666,0.9976094
0.004,0.0026666666666666666,0.997544
0.004,0.003,0.9975393
0.004666666666666667,0.003,0.99696076
0.006,0.003,0.9967022
0.006666666666666667,0.003,0.99625486
0.006666666666666667,0.0036666666666666666,0.9962303
0.008,0.0036666666666666666,0.99587506
0.008,0.004333333333333333,0.99579656
0.008,0.004666666666666667,0.99562854
0.010666666666666666,0.004666666666666667,0.9955368
0.010666666666666666,0.005,0.99548674
0.011,0.005,0.99530816
0.011,0.006,0.9947388
0.012333333333333333,0.006,0.9944747
0.012333333333333333,0.006666666666666667,0.99426085
0.012666666666666666,0.006666666666666667,0.99419516
0.012666666666666666,0.008666666666666666,0.99289167
0.013666666666666667,0.008666666666666666,0.9928309
0.013666666666666667,0.009,0.99243593
0.014,0.009,0.99240726
0.014,0.009333333333333334,0.99220186
0.014666666666666666,0.009333333333333334,0.9921703
0.014666666666666666,0.009666666666666667,0.9921322
0.016,0.009666666666666667,0.9921021
0.016,0.010333333333333333,0.9920553
0.01633333333333333,0.010333333333333333,0.9919954
0.01633333333333333,0.010666666666666666,0.9919871
0.017333333333333333,0.010666666666666666,0.99161154
0.017333333333333333,0.011,0.99142295
0.017666666666666667,0.011,0.99112463
0.017666666666666667,0.011333333333333334,0.9908986
0.018333333333333333,0.011333333333333334,0.99024725
0.018333333333333333,0.011666666666666667,0.9901365
0.019,0.011666666666666667,0.98979664
0.019,0.012333333333333333,0.9894952
0.019666666666666666,0.012333333333333333,0.9894598
0.02,0.012333333333333333,0.9890036
0.02,0.012666666666666666,0.98788494
0.02033333333333333,0.012666666666666666,0.9875899
0.021666666666666667,0.012666666666666666,0.9850831
0.022,0.012666666666666666,0.9845796
0.022,0.013333333333333334,0.9841168
0.023333333333333334,0.013333333333333334,0.98357403
0.023333333333333334,0.014,0.98326683
0.023333333333333334,0.015,0.98267674
0.025,0.015333333333333332,0.9825906
0.026333333333333334,0.015333333333333332,0.98175114
0.026333333333333334,0.015666666666666666,0.98112553
0.026333333333333334,0.01633333333333333,0.98100805
0.026333333333333334,0.016666666666666666,0.98100334
0.02666666666666667,0.016666666666666666,0.9808877
